text,label,io_confidence,org_confidence,nci_score,top_indicators,platform,timestamp
Donald J. Trump What do they have to be afraid of. Republicans are moving too fast on nominations!!! 1.42k 4.5k,IO,0.999,0.001,0,,Truth Social,2026-06-14T16:00:42.310927
"Donald J. Trump Why are the Dumocrats so afraid of Bill Pulte at DNI??? He would only be Acting! What do they have to be afraid of, what are they hiding? There must be something BIG, mustn’t there??? President DJT 1.07k 2.41k 8.33k",IO,0.992,0.008,0,,Truth Social,2026-06-14T16:00:42.375253
"Donald J. Trump A few Dumocrats are against FISA, with or without Bill Pulte going to DNI, as Acting. What kind of a deal is that. Besides, I’m against FISA if it doesn’t come with The Save America Act (Full version!) firmly attached to it. MAKE AMERICA GREAT AGAIN! Thank you for your attention to this matter. President DONALD J. TRUMP 2.01k 7.4k",IO,0.997,0.003,0,,Truth Social,2026-06-14T16:00:42.446148
Donald J. Trump 3.04k 2.9k 11.4k,IO,0.997,0.003,0,,Truth Social,2026-06-14T16:00:42.477301
"Donald J. Trump John Wahl, the Highly Respected former Chairman of the Alabama GOP, is running for Lieutenant Governor of Alabama. John has been with us from the very beginning, and has been key to our many Republican Victories in the Great State of Alabama, which I won with the Highest Vote in Alabama History, including my HISTORIC WINS in 2016, 2020, and 2024! As your next Lieutenant Governor, John will fight tirelessly to Grow the Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Support ou",Organic,0.0,1.0,0,,Truth Social,2026-06-14T16:01:46.915546
"Donald J. Trump Thank you Michael. The Dumocrats Weaponized Government at levels never seen before, and you survived it all. They should pay the ultimate price for what they have done!!! President DJT open.substack.com/pub/therealm open.substack.com ""The Price Of Proximity"" I know what government weaponization looks like because I lived it; through leaks, lies, intimidation, solitary confinement, and a campaign that devastated everything I built. 2.37k 8.9k",IO,0.996,0.004,0,,Truth Social,2026-06-14T16:01:47.885377
Donald J. Trump What do they have to be afraid of. Republicans are moving too fast on nominations!!! 1.44k 4.59k,IO,0.999,0.001,0,,Truth Social,2026-06-14T16:02:34.044856
"Donald J. Trump Why are the Dumocrats so afraid of Bill Pulte at DNI??? He would only be Acting! What do they have to be afraid of, what are they hiding? There must be something BIG, mustn’t there??? President DJT 1.08k 2.45k 8.44k",IO,0.991,0.009,0,,Truth Social,2026-06-14T16:02:36.656867
"Donald J. Trump A few Dumocrats are against FISA, with or without Bill Pulte going to DNI, as Acting. What kind of a deal is that. Besides, I’m against FISA if it doesn’t come with The Save America Act (Full version!) firmly attached to it. MAKE AMERICA GREAT AGAIN! Thank you for your attention to this matter. President DONALD J. TRUMP 2.03k 7.49k",IO,0.997,0.003,0,,Truth Social,2026-06-14T16:02:36.741039
Donald J. Trump 3.05k 2.91k 11.4k,IO,0.998,0.002,0,,Truth Social,2026-06-14T16:02:37.990113
