text,label,io_confidence,org_confidence,nci_score,top_indicators,platform,timestamp
jules why the hell was netherlands abbreviated as hol in the first place,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:16.971403
"Peuzada Translated from Portuguese Show original Japan's coach uses a mini whiteboard to tell the team which tactic to use And if it even goes up to the number 45, how many ""rehearsed plays"" do these guys have?",Organic,0.002,0.998,0,,X / Twitter,2026-06-15T09:56:17.159540
História No Paint,IO,0.999,0.001,0,,X / Twitter,2026-06-15T09:56:17.251728
"Moha Hey , why did Germany cover their mouths? What message were they trying to send to FIFA and the world?",IO,0.923,0.077,0,,X / Twitter,2026-06-15T09:56:17.395039
"Translated from Arabic Show original Watch the intelligence of the Japanese players The Japanese player pushed Van Dijk and kept him away from the ball area during the corner kick, considering him the defensive leader and the tallest player in the Netherlands Because of that, the goal came... Japan studies football, they don't just play it!!!",Organic,0.001,0.999,0,,X / Twitter,2026-06-15T09:56:18.651444
Terrible Maps Has your Nation ever lost 7-1 to Germany at the World Cup?,Organic,0.002,0.998,0,,X / Twitter,2026-06-15T09:56:20.511510
Oyiga Micheal No one calls Netherlands “holland” anymore. Growing up that used to be a thing.,Organic,0.008,0.992,0,,X / Twitter,2026-06-15T09:56:22.893580
Valen Kavata Translated from Spanish Show original It's the first time in my life that I've seen a player apologize after scoring a goal IN A WORLD CUP,Organic,0.001,0.999,0,,X / Twitter,2026-06-15T09:56:23.047049
"Lord Bebo FUNNIEST THING: Japanese fans ran onto the famous Shibuya Crossing in Tokyo for 40 seconds to celebrate the 2:2 tie against the Netherlands. They ran onto the crossing only for 40 seconds while it was green! The Japanese DID NOT BREAK TRAFFIC RULES! After the light turned red, everyone went back and stopped the celebration. They did not even break the traffic rules for this moment. lol Lord Bebo Japanese football fans celebrated “Japan Pride” with trash bags at the stadium! The fans happily cleane",IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:56:23.562485
The TouchPulse | 𝐓,IO,0.987,0.013,0,,X / Twitter,2026-06-15T09:56:24.747542
Keir Starmer We are banning social media access for under 16s. These days kids must find their feet in a world where technology intrudes into every area of their life. I just can’t let that go on anymore. So we’re giving children their childhoods back.,IO,0.979,0.021,0,,X / Twitter,2026-06-15T09:56:26.564495
Nick Volpe Ivory Coast becomes the FIRST team in this World Cup to win whilst having LESS Bird species than their opposition!,IO,0.989,0.011,0,,X / Twitter,2026-06-15T09:56:26.701780
Kevín I remember watching soccer and people be like that goal was coming and I could not understand how they knew that. Now I can tell.,IO,0.979,0.021,0,,X / Twitter,2026-06-15T09:56:28.482335
BBC Sport Virgil van Dijk says he's not a fan of the mandatory hydration breaks introduced at the World Cup,Organic,0.001,0.999,0,,X / Twitter,2026-06-15T09:56:28.623084
Scott Bryan BBC: “What was your screen time?” Student: “Nine hours.” BBC: “You’re gong to have a lot more time to fill. What will you do?” Student: “Stare at a wall.”,Organic,0.054,0.946,0,,X / Twitter,2026-06-15T09:56:30.630739
Roy Landors Translated from Spanish Show original It's incredible that whenever they focus on her she's always looking the other way xdd From CR Wrestling,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:34.083733
grumble i guess i enjoy the idea of having to go grab your items after you die but minecraft's implementation of it is maybe the most inconvenient video game mechanic ive ever seen in my life,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:34.463102
söz gülü Translated from Turkish Show original There was no need for him to waste all that intelligence just to draw a smiley face 0:17From,IO,0.679,0.321,0,,X / Twitter,2026-06-15T09:56:34.630993
Abiola Missing a flight in 2005: - Miss flight. - Go home. - Bad day Missing a flight in 2026:,IO,0.981,0.019,0,,X / Twitter,2026-06-15T09:56:34.801953
Liam Delap Manuel Neuer spotted at midfield against Curacao 54',IO,0.553,0.447,0,,X / Twitter,2026-06-15T09:56:34.925323
CTO ROBOTICS Media,Organic,0.014,0.986,0,,X / Twitter,2026-06-15T09:56:35.016209
"millán Parody account Translated from Spanish Show original If in this group everyone ends up 1-1, how would they decide which teams advance?",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:36.092698
Daniel Mayakovski,IO,0.904,0.096,0,,X / Twitter,2026-06-15T09:56:36.202903
Translated from Portuguese Show original WE ARE NO LONGER THE ONLY NATIONAL TEAM TO LOSE 7-1 TO GERMANY IN THE WORLD CUP From,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:42.069705
Ayushi Easily the best Apple Intelligence feature,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:42.160571
a fan has just made an AI alternate version of events if Gabriel had scored his penalty 1:06From elsdawg,Organic,0.149,0.851,0,,X / Twitter,2026-06-15T09:56:42.270794
"human What’s the least amount of money I can save to never work again and travel the world? (Genuinely, realistically)",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:42.398891
"Lord Immy Kant Americans after paying $300 billion to Iran to reopen the Strait of Hormuz which was never closed The Hormuz Letter BREAKING: Iran says the US has agreed to pay $300 billion in reconstruction funds directly to Iran as part of the deal Pakistan announced, alongside the release of $24 billion in frozen funds with $12 billion released before negotiations even start, per Mehr News. This directly",IO,1.0,0.0,1,1,X / Twitter,2026-06-15T09:56:42.614884
"Bostermo Translated from Spanish Show original Me in 60 years in a nursing home, with advanced dementia, remembering those 15 minutes when Curaçao was tied 1-1 with Germany",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:42.767088
"Yonan Matt Damon says Clint Eastwood gave him one take after six months of accent work and called a second take a waste of time ""I spent six months... 9 to 5 Monday through Friday, we would work on this accent because South African is really hard to do"" ""I showed up ready... it's my chance to work with one of my heroes, and the very first take he goes, cut, print, move on"" ""I go, hang on boss, you wanna do another one? and he goes, why, you wanna waste everybody's time?""",IO,0.999,0.001,0,,X / Twitter,2026-06-15T09:56:43.271132
Translated from Portuguese Show original WE ARE NO LONGER THE ONLY NATIONAL TEAM TO LOSE 7-1 TO GERMANY IN THE WORLD CUP From,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:43.393926
Ayushi Easily the best Apple Intelligence feature,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:43.474353
a fan has just made an AI alternate version of events if Gabriel had scored his penalty 1:06From elsdawg,Organic,0.149,0.851,0,,X / Twitter,2026-06-15T09:56:43.586175
"human What’s the least amount of money I can save to never work again and travel the world? (Genuinely, realistically)",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:43.907102
"Lord Immy Kant Americans after paying $300 billion to Iran to reopen the Strait of Hormuz which was never closed The Hormuz Letter BREAKING: Iran says the US has agreed to pay $300 billion in reconstruction funds directly to Iran as part of the deal Pakistan announced, alongside the release of $24 billion in frozen funds with $12 billion released before negotiations even start, per Mehr News. This directly",IO,1.0,0.0,1,1,X / Twitter,2026-06-15T09:56:44.155503
"Yonan Matt Damon says Clint Eastwood gave him one take after six months of accent work and called a second take a waste of time ""I spent six months... 9 to 5 Monday through Friday, we would work on this accent because South African is really hard to do"" ""I showed up ready... it's my chance to work with one of my heroes, and the very first take he goes, cut, print, move on"" ""I go, hang on boss, you wanna do another one? and he goes, why, you wanna waste everybody's time?""",IO,0.999,0.001,0,,X / Twitter,2026-06-15T09:56:44.458024
"Bostermo Translated from Spanish Show original Me in 60 years in a nursing home, with advanced dementia, remembering those 15 minutes when Curaçao was tied 1-1 with Germany",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:44.598523
Matt Wallace One of the dirtiest plays I have ever seen,Organic,0.303,0.697,0,,X / Twitter,2026-06-15T09:56:47.670104
"The most Japanese celebration ever After Japan’s 2–2 draw against the Netherlands, fans rushed onto Tokyo’s famous Shibuya Crossing to celebrate. For exactly 40 seconds. Why? Because the pedestrian light was green. As soon as it turned red, everyone stopped celebrating and obediently moved back to the sidewalks. Even in the middle of a spontaneous football celebration, the Japanese still refused to break traffic rules.",IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:56:47.908549
Ryo Saeba | Japon XYZ,IO,0.999,0.001,0,,X / Twitter,2026-06-15T09:56:47.995299
Alice Monstrinho,IO,0.997,0.003,0,,X / Twitter,2026-06-15T09:56:50.721711
Politics UK WATCH: School children react to the UK social media ban for under-16s live on BBC News,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:52.405863
Translated from Japanese Show original Dribbling from a diagonal angle behind while shooting? That makes no sense!! No way you can pull that off normally!!,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:52.543539
Fuck you mean Mexico is hosting the WC but can’t ask questions in Spanish. What kind of bullshit is that,IO,0.949,0.051,0,,X / Twitter,2026-06-15T09:56:53.916890
"Smiley Watching Netherlands and Japan right now, this Van Dick nigga lowkey got aura what’s his NBA comp?",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:54.040056
𝙈𝙖𝙠𝙤 𝙉𝙖𝙠𝙖𝙢𝙪𝙧𝙖,Organic,0.1,0.9,0,,X / Twitter,2026-06-15T09:56:54.402514
Jeff Translated from Spanish Show original The stadium employees when they see that it's Japan playing,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:56:56.127296
Roy Landors Translated from Spanish Show original It's incredible that whenever they focus on her she's always looking the other way xdd,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:01.236385
söz gülü Translated from Turkish Show original There was no need for him to waste all that intelligence just to draw a smiley face,IO,0.885,0.115,0,,X / Twitter,2026-06-15T09:57:01.554559
a fan has just made an AI alternate version of events if Gabriel had scored his penalty From elsdawg,Organic,0.028,0.972,0,,X / Twitter,2026-06-15T09:57:01.656530
The New York Times,IO,0.994,0.006,0,,X / Twitter,2026-06-15T09:57:07.188766
Sen. Bernie Sanders,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:57:07.266449
The Associated Press,IO,0.994,0.006,0,,X / Twitter,2026-06-15T09:57:07.531729
Jamie Bonkiewicz,Organic,0.088,0.912,0,,X / Twitter,2026-06-15T09:57:07.606368
The White House,IO,0.99,0.01,0,,X / Twitter,2026-06-15T09:57:07.676582
Politics UK Jun 10 WATCH: Police deploy a water cannon against rioters in Northern Ireland,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:07.786010
"Jun 13 Trump says agreement with Iran is scheduled to be signed Sunday. Iran hasn't confirmed timing but said an ""understanding"" was reached on most issues. Follow live updates. cnn.it/3Qin5Bi",IO,0.985,0.015,0,,X / Twitter,2026-06-15T09:57:07.966157
The Associated Press,IO,0.994,0.006,0,,X / Twitter,2026-06-15T09:57:08.246329
Jamie Bonkiewicz,Organic,0.088,0.912,0,,X / Twitter,2026-06-15T09:57:08.336096
The White House,IO,0.99,0.01,0,,X / Twitter,2026-06-15T09:57:08.446328
Politics UK Jun 10 WATCH: Police deploy a water cannon against rioters in Northern Ireland,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:08.549162
"Jun 13 Trump says agreement with Iran is scheduled to be signed Sunday. Iran hasn't confirmed timing but said an ""understanding"" was reached on most issues. Follow live updates. cnn.it/3Qin5Bi",IO,0.985,0.015,0,,X / Twitter,2026-06-15T09:57:08.716346
"Barack Obama Jul 13, 2024 There is absolutely no place for political violence in our democracy. Although we don’t yet know exactly what happened, we should all be relieved that former President Trump wasn’t seriously hurt, and use this moment to recommit ourselves to civility and respect in our politics. Michelle and I are wishing him a quick recovery.",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:10.626349
"Politics UK POLL: Do you support the UK's social media ban for under-16s? Yes No Not sure 1,277 votes 22 hours left",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:11.626479
"Politics UK BREAKING: Keir Starmer speaks ahead of announcing a social media ban for under-16s tomorrow morning ""How we keep kids safe online is one of the biggest debates of our time. As a dad, I know every parent wants their child to grow up safe and happy. ""This is a choice about whose side we’re on: families across the country, or a status quo that isn’t working. People rightly expect action, and this Government will always stand up for parents and put children first. ""That’s why we will call time on a ",Organic,0.003,0.997,1,1,X / Twitter,2026-06-15T09:57:11.952258
"Politics UK BREAKING: Keir Starmer speaks ahead of announcing a social media ban for under-16s tomorrow morning ""How we keep kids safe online is one of the biggest debates of our time. As a dad, I know every parent wants their child to grow up safe and happy. ""This is a choice about whose side we’re on: families across the country, or a status quo that isn’t working. People rightly expect action, and this Government will always stand up for parents and put children first. ""That’s why we will call time on a ",Organic,0.003,0.997,1,1,X / Twitter,2026-06-15T09:57:12.466199
